nfhs_state_raw,nfhs_district_raw,nfhs_state_norm,canonical_state_norm,nfhs_district_norm,candidate_district_norm,score,rank
Uttar Pradesh,Sant Kabir Nagar ,UTTAR PRADESH,UTTAR PRADESH,SANT KABIR NAGAR,KANPUR NAGAR,0.643,3
Uttar Pradesh,Shrawasti ,UTTAR PRADESH,UTTAR PRADESH,SHRAWASTI,SHRAVASTI,0.889,1
Uttar Pradesh,Shrawasti ,UTTAR PRADESH,UTTAR PRADESH,SHRAWASTI,VARANASI,0.588,2
Uttar Pradesh,Shrawasti ,UTTAR PRADESH,UTTAR PRADESH,SHRAWASTI,BASTI,0.571,3
Uttar Pradesh,Siddharthnagar ,UTTAR PRADESH,UTTAR PRADESH,SIDDHARTHNAGAR,SIDDHARTH NAGAR,0.966,1
Uttar Pradesh,Siddharthnagar ,UTTAR PRADESH,UTTAR PRADESH,SIDDHARTHNAGAR,AMBEDKAR NAGAR,0.571,2
Uttar Pradesh,Siddharthnagar ,UTTAR PRADESH,UTTAR PRADESH,SIDDHARTHNAGAR,KUSHI NAGAR,0.56,3
Uttarakhand,Garhwal ,UTTARAKHAND,UTTARAKHAND,GARHWAL,PAURI GARHWAL,0.7,1
Uttarakhand,Garhwal ,UTTARAKHAND,UTTARAKHAND,GARHWAL,TEHRI GARHWAL,0.7,2
Uttarakhand,Hardwar ,UTTARAKHAND,UTTARAKHAND,HARDWAR,HARIDWAR,0.933,1
Uttarakhand,Rudraprayag ,UTTARAKHAND,UTTARAKHAND,RUDRAPRAYAG,RUDRA PRAYAG,0.957,1
Uttarakhand,Udham Singh Nagar ,UTTARAKHAND,UTTARAKHAND,UDHAM SINGH NAGAR,UDAM SINGH NAGAR,0.97,1
Uttarakhand,Uttarkashi ,UTTARAKHAND,UTTARAKHAND,UTTARKASHI,UTTAR KASHI,0.952,1
West Bengal,Darjiling ,WEST BENGAL,WEST BENGAL,DARJILING,DARJEELING,0.842,1
West Bengal,Darjiling ,WEST BENGAL,WEST BENGAL,DARJILING,KALIMPONG,0.556,2
West Bengal,Haora ,WEST BENGAL,WEST BENGAL,HAORA,HOWRAH,0.727,1
